OD_ORIGIN_AIRPRT_IATA_CD,OD_DESTNTN_AIRPRT_IATA_CD,AIRPORT_NM,OD_DEP_CITY_METRO_CD,OD_ARVL_CITY_METRO_CD,CITY,CNTRY_CD,STATE_PROVNC_CD
FLS,FLS,Flinders Island,FLS,FLS,Flinders Island,AU,TS
FLT,FLT,Flat,FLT,FLT,Flat,US,AK
FLV,FLV,Sherman AAF,FLV,FLV,Fort Leavenworth,US,KS
FLW,FLW,Flores Island,FLW,FLW,Flores Island,PT,
FLX,FLX,Fallon Municipal,NFL,NFL,Fallon,US,NV
FLY,FLY,Finley,FLY,FLY,Finley,AU,NS
FLZ,FLZ,Ferdinand LumbanTobing,FLZ,FLZ,Sibolga,ID,
FMA,FMA,Formosa,FMA,FMA,Formosa,AR,FO
FME,FME,Tipton,FME,FME,Fort Meade/Odenton,US,MD
FMH,FMH,Cape Cod Coast Guard,FMH,FMH,Falmouth,US,MA
FMI,FMI,Kalemie,FMI,FMI,Kalemie,CD,
FMM,FMM,Allgaeu,FMM,FMM,Memmingen,DE,
FMN,FMN,Four Corners Regional,FMN,FMN,Farmington,US,NM
FMO,FMO,Muenster/Osnabrueck International,FMO,FMO,Muenster/Osnabrueck,DE,
FMS,FMS,Fort Madison Municipal,FMS,FMS,Fort Madison,US,IA
FMU,FMU,Florence Municipal,FMU,FMU,Florence,US,OR
FMY,FMY,Page Field,FMY,FMY,Fort Myers,US,FL
FNA,FNA,Lungi International,FNA,FNA,Freetown,SL,
FNB,FNB,Trollenhagen,FNB,FNB,Neubrandenburg,DE,
FNC,FNC,Madeira,FNC,FNC,Funchal,PT,
FND,FND,Funadhoo,FND,FND,Funadhoo,MV,
FNE,FNE,Fane,FNE,FNE,Fane,PG,
FNG,FNG,Fada N'Gourma,FNG,FNG,Fada N'Gourma,BF,
FNH,FNH,Fincha'a,FNH,FNH,Fincha'a,ET,
FNI,FNI,Garons,FNI,FNI,Nimes,FR,
FNJ,FNJ,Sunan Intl,FNJ,FNJ,Pyongyang,KP,
FNL,FNL,Fort Collins/Loveland Municipal,FNL,FNL,Fort Collins/Loveland,US,CO
FNR,FNR,Funter Bay Sea Plane Base,FNR,FNR,Funter Bay,US,AK
FNT,FNT,Bishop Intl,FNT,FNT,Flint,US,MI
FNU,FNU,Fenosu,FNU,FNU,Oristano,IT,
FOA,FOA,Foula,FOA,FOA,Foula,GB,
FOB,FOB,Fort Bragg,FOB,FOB,Fort Bragg,US,CA
FOC,FOC,Changle Intl,FOC,FOC,Fuzhou,CN,
FOD,FOD,Fort Dodge Regional,FOD,FOD,Fort Dodge,US,IA
FOE,FOE,Forbes Field,TOP,TOP,Topeka,US,KS
FOG,FOG,Gino Lisa,FOG,FOG,Foggia,IT,
FOK,FOK,Francis S. Gabreski,FOK,FOK,Westhampton Beach,US,NY
FOM,FOM,Nkounja,FOM,FOM,Foumban,CM,
FON,FON,Arenal,FON,FON,Fortuna,CR,
FOO,FOO,Numfoor,FOO,FOO,Numfoor,ID,
FOR,FOR,Pinto Martins Intl,FOR,FOR,Fortaleza,BR,CE
FOS,FOS,Forrest,FOS,FOS,Forrest,AU,WA
FOT,FOT,Forster,FOT,FOT,Forster,AU,NS
FOU,FOU,Fougamou,FOU,FOU,Fougamou,GA,
FOY,FOY,Foya,FOY,FOY,Foya,LR,
FPO,FPO,Grand Bahama Intl,FPO,FPO,Freeport,BS,
FPR,FPR,St Lucie County Intl,FPR,FPR,Fort Pierce,US,FL
FPY,FPY,Perry-Foley,FPY,FPY,Perry,US,FL
FRA,FRA,Frankfurt International,FRA,FRA,Frankfurt,DE,
FRB,FRB,Forbes,FRB,FRB,Forbes,AU,NS
FRC,FRC,Tenente Lund Presetto,FRC,FRC,Franca,BR,SP
FRD,FRD,Friday Harbor Airport,FRD,FRD,Friday Harbor,US,WA
FRE,FRE,Fera Island,FRE,FRE,Fera Island,SB,
FRG,FRG,Republic,FRG,FRG,Farmingdale,US,NY
FRH,FRH,French Lick Municipal,FRH,FRH,French Lick,US,IN
FRI,FRI,Marshall AAF,FRI,FRI,Fort Riley,US,KS
FRK,FRK,Fregate Island,FRK,FRK,Fregate Island,SC,
FRL,FRL,Luigi Ridolfi,FRL,FRL,Forli,IT,
FRM,FRM,Fairmont Municipal,FRM,FRM,Fairmont,US,MN
FRN,FRN,Bryant AAF,ANC,ANC,Anchorage,US,AK
FRO,FRO,Floro,FRO,FRO,Floro,NO,
FRQ,FRQ,Feramin,FRQ,FRQ,Feramin,PG,
FRR,FRR,Warren County,FRR,FRR,Front Royal,US,VA
FRS,FRS,Mundo Maya Intl,FRS,FRS,Flores,GT,
FRT,FRT,Frutillar,FRT,FRT,Frutillar,CL,
FRU,FRU,Manas Intl,FRU,FRU,Bishkek,KG,
FRW,FRW,Francistown,FRW,FRW,Francistown,BW,
FRY,FRY,Eastern Slopes Rgnl,FRY,FRY,Fryeburg,US,ME
FRZ,FRZ,Fritzlar,FRZ,FRZ,Fritzlar,DE,
FSC,FSC,Sud-Corse,FSC,FSC,Figari,FR,
FSD,FSD,Joe Foss Field,FSD,FSD,Sioux Falls,US,SD
FSI,FSI,Henry Post AAF,LAW,LAW,Lawton/Fort Sill,US,OK
FSK,FSK,Fort Scott Municipal,FSK,FSK,Fort Scott,US,KS
FSL,FSL,Fossil Downs Station,FSL,FSL,Fossil Downs Station,AU,WA
FSM,FSM,Fort Smith Regional,FSM,FSM,Fort Smith,US,AR
FSP,FSP,St-Pierre,FSP,FSP,St-Pierre,PM,
FSS,FSS,Kinloss RAF,FSS,FSS,Forres,GB,
FST,FST,Pecos County,FST,FST,Fort Stockton,US,TX
FSU,FSU,Fort Sumner Municipal,FSU,FSU,Fort Sumner,US,NM
FSZ,FSZ,Mount Fuji,FSZ,FSZ,Shizuoka,JP,
FTA,FTA,Futuna Island,FTA,FTA,Futuna Island,VU,
FTE,FTE,Comandante A. Tola,FTE,FTE,El Calafate,AR,SC
FTI,FTI,Fitiuta,FTI,FTI,Fitiuta,AS,
FTK,FTK,Godman AAF,FTK,FTK,Fort Knox,US,KY
FTU,FTU,Marillac,FTU,FTU,Tolanaro,MG,
FTW,FTW,Meacham International,FTW,FTW,Fort Worth,US,TX
FTX,FTX,Owando,FTX,FTX,Owando,CG,
FTY,FTY,Fulton County,ATL,ATL,Atlanta,US,GA
FUB,FUB,Fulleborn,FUB,FUB,Fulleborn,PG,
FUE,FUE,Fuerteventura,FUE,FUE,Fuerteventura,ES,
FUG,FUG,Xiguan,FUG,FUG,Fuyang,CN,
FUJ,FUJ,Goto-Fukue,FUJ,FUJ,Fukue,JP,
FUK,FUK,Fukuoka,FUK,FUK,Fukuoka,JP,
FUL,FUL,Fullerton Municipal,FUL,FUL,Fullerton,US,CA
FUM,FUM,Fuma,FUM,FUM,Fuma,PG,
FUN,FUN,Funafuti International,FUN,FUN,Funafuti,TV,
FUT,FUT,Pointe Vele,FUT,FUT,Futuna Island,WF,
FVL,FVL,Flora Valley,FVL,FVL,Flora Valley,AU,WA
FVM,FVM,Fuvahmulak Island,FVM,FVM,Fuvahmulak Island,MV,
FVR,FVR,Forrest River Mission,FVR,FVR,Forrest River Mission,AU,WA
FWA,FWA,Fort Wayne International,FWA,FWA,Fort Wayne,US,IN
FWH,FWH,NAS JRB,FTW,FTW,Fort Worth,US,TX
FWL,FWL,Farewell,FWL,FWL,Farewell,US,AK
FXE,FXE,Executive,FLL,FLL,Fort Lauderdale,US,FL
FXO,FXO,Cuamba,FXO,FXO,Cuamba,MZ,
FXY,FXY,Forest City Municipal,FXY,FXY,Forest City,US,IA
FYJ,FYJ,Fuyuan,FYJ,FYJ,Fuyuan,CN,
FYM,FYM,Fayetteville Municipal,FYM,FYM,Fayetteville,US,TN
FYN,FYN,Fuyun,FYN,FYN,Fuyun,CN,
FYT,FYT,Faya-Largeau,FYT,FYT,Faya-Largeau,TD,
FYU,FYU,Fort Yukon,FYU,FYU,Fort Yukon,US,AK
FYV,FYV,Drake Field,FYV,FYV,Fayetteville/Springd.,US,AR
FZO,FZO,Filton,FZO,FZO,Filton,GB,
GAA,GAA,Guamal,GAA,GAA,Guamal,CO,
GAB,GAB,Gabbs,GAB,GAB,Gabbs,US,NV
GAC,GAC,Gracias,GAC,GAC,Gracias,HN,
GAD,GAD,Northeast Alabama Rgnl,GAD,GAD,Gadsden,US,AL
GAE,GAE,Matmata,GAE,GAE,Gabes,TN,
GAF,GAF,Ksar,GAF,GAF,Gafsa,TN,
GAG,GAG,Gage,GAG,GAG,Gage,US,OK
GAH,GAH,Gayndah,GAH,GAH,Gayndah,AU,QL
GAI,GAI,Montgomery Co Airpark,GAI,GAI,Gaithersburg,US,MD
GAJ,GAJ,Yamagata,GAJ,GAJ,Yamagata,JP,
GAL,GAL,Edward G. Pitka Sr.,GAL,GAL,Galena,US,AK
GAM,GAM,Gambell,GAM,GAM,Gambell,US,AK
GAN,GAN,Gan Island International,GAN,GAN,Gan Island,MV,
GAO,GAO,Mariana Grajales,GAO,GAO,Guantanamo,CU,
GAP,GAP,Gusap,GAP,GAP,Gusap,PG,
GAQ,GAQ,Korogoussou,GAQ,GAQ,Gao,ML,
GAR,GAR,Garaina,GAR,GAR,Garaina,PG,
GAS,GAS,Garissa,GAS,GAS,Garissa,KE,
GAT,GAT,Tallard,GAT,GAT,Gap,FR,
GAU,GAU,Gopinath Bordoloi Intl,GAU,GAU,Guwahati,IN,AS
GAV,GAV,Gag Island,GAV,GAV,Gag Island,ID,
GAW,GAW,Gangaw,GAW,GAW,Gangaw,MM,
GAX,GAX,Yenzi,GAX,GAX,Gamba,GA,
GAY,GAY,Gaya,GAY,GAY,Gaya,IN,BR
GAZ,GAZ,Guasopa,GAZ,GAZ,Guasopa,PG,
GBA,GBA,Cotswold,GBA,GBA,Kemble,GB,
GBB,GBB,Gabala International,GBB,GBB,Gabala,AZ,
GBC,GBC,Gasuke,GBC,GBC,Gasuke,PG,
GBD,GBD,Great Bend Municipal,GBD,GBD,Great Bend,US,KS
GBE,GBE,Sir Seretse Khama Intl,GBE,GBE,Gaborone,BW,
GBF,GBF,Negarbo,GBF,GBF,Negarbo,PG,
GBG,GBG,Galesburg Municipal,GBG,GBG,Galesburg,US,IL
GBH,GBH,Galbraith Lake,GBH,GBH,Galbraith Lake,US,AK
GBI,GBI,Kalaburagi,GBI,GBI,Gulbarga,IN,KA
GBJ,GBJ,Marie-Galante,GBJ,GBJ,Marie-Galante,GP,
GBK,GBK,Gbangbatok,GBK,GBK,Gbangbatok,SL,
GBL,GBL,South Goulburn Island,GBL,GBL,South Goulburn Island,AU,NT
GBM,GBM,Garbaharey,GBM,GBM,Garbaharey,SO,
GBP,GBP,Gamboola,GBP,GBP,Gamboola,AU,QL
GBR,GBR,Walter J. Koladza,GBR,GBR,Great Barrington,US,MA
GBT,GBT,Gorgan,GBT,GBT,Gorgan,IR,
GBU,GBU,Khashm el Girba,GBU,GBU,Khashm el Girba,SD,
GBV,GBV,Gibb River,GBV,GBV,Gibb River,AU,WA
GBW,GBW,Ginbata,GBW,GBW,Ginbata,AU,WA
GBZ,GBZ,Great Barrier Island,GBZ,GBZ,Great Barrier Island,NZ,
GCA,GCA,Guacamayas,GCA,GCA,Guacamayas,CO,
GCC,GCC,Campbell County,GCC,GCC,Gillette,US,WY
GCD,GCD,Grand Coulee Dam,GCD,GCD,Electric City,US,WA
GCH,GCH,Gachsaran,GCH,GCH,Gachsaran,IR,
GCI,GCI,Guernsey,GCI,GCI,Guernsey,GG,
GCJ,GCJ,Grand Central,JNB,JNB,Johannesburg,ZA,
GCK,GCK,Garden City Regional,GCK,GCK,Garden City,US,KS
GCM,GCM,Owen Roberts Intl,GCM,GCM,Grand Cayman,KY,
GCN,GCN,Grand Canyon National Park,GCN,GCN,Grand Canyon,US,AZ
GCW,GCW,Grand Canyon West,GCW,GCW,Grand Canyon West,US,AZ
GCY,GCY,Greene County Muni,GCY,GCY,Greeneville,US,TN
GDA,GDA,Gounda,GDA,GDA,Gounda,CF,
GDC,GDC,Donaldson Field,GSP,GSP,Greenville/Spartanburg,US,SC
GDD,GDD,Gordon Downs,GDD,GDD,Gordon Downs,AU,WA
GDE,GDE,Gode,GDE,GDE,Gode,ET,
GDG,GDG,Magdagachi,GDG,GDG,Magdagachi,RU,
GDH,GDH,Golden Horn Lodge SPB,GDH,GDH,Golden Horn,US,AK
GDI,GDI,Gordil,GDI,GDI,Melle,CF,
GDJ,GDJ,Gandajika,GDJ,GDJ,Gandajika,CD,
GDL,GDL,Miguel Hidalgo Intl,GDL,GDL,Guadalajara,MX,
GDM,GDM,Gardner Municipal,GDM,GDM,Gardner,US,MA
GDN,GDN,Lech Walesa,GDN,GDN,Gdansk,PL,
GDO,GDO,Guasdualito,GDO,GDO,Guasdualito,VE,
GDQ,GDQ,Azezo,GDQ,GDQ,Gonder,ET,
GDT,GDT,J.A.G.S. McCartney Int,GDT,GDT,Grand Turk,TC,
GDV,GDV,Dawson Community,GDV,GDV,Glendive,US,MT
GDW,GDW,Zettel Memorial,GDW,GDW,Gladwin,US,MI
GDX,GDX,Sokol,GDX,GDX,Magadan,RU,
GDZ,GDZ,Gelendzhik,GDZ,GDZ,Gelendzhik,RU,
GEA,GEA,Magenta,NOU,NOU,Noumea,NC,
GEB,GEB,Gebe,GEB,GEB,Gebe,ID,
GEC,GEC,Gecitkale,GEC,GEC,Gecitkale,CY,
GED,GED,Sussex County,GED,GED,Georgetown,US,DE
GEE,GEE,George Town,GEE,GEE,George Town,AU,TS
GEF,GEF,Geva,GEF,GEF,Geva,SB,
GEG,GEG,Spokane International,GEG,GEG,Spokane,US,WA
GEL,GEL,Sepe Tiaraju,GEL,GEL,Santo Angelo,BR,RS
GEM,GEM,Mongomeyen,GEM,GEM,Mongomo,GQ,
GEO,GEO,Cheddi Jagan Intl,GEO,GEO,Georgetown,GY,
GER,GER,Rafael Cabrera,GER,GER,Nueva Gerona,CU,
GES,GES,General Santos International,GES,GES,General Santos,PH,
GET,GET,Geraldton,GET,GET,Geraldton,AU,WA
GEV,GEV,Gallivare,GEV,GEV,Gallivare,SE,
GEW,GEW,Gewoia,GEW,GEW,Gewoia,PG,
GEX,GEX,Geelong,GEX,GEX,Geelong,AU,VI
GEY,GEY,South Big Horn County,GEY,GEY,Greybull,US,WY
GFD,GFD,Pope Field,GFD,GFD,Greenfield,US,IN
GFE,GFE,Grenfell,GFE,GFE,Grenfell,AU,NS
GFF,GFF,Griffith,GFF,GFF,Griffith,AU,NS
GFK,GFK,Grand Forks International,GFK,GFK,Grand Forks,US,ND
GFL,GFL,Floyd Bennett Memorial,GFL,GFL,Glens Falls,US,NY
GFN,GFN,Clarence Valley,GFN,GFN,Grafton,AU,NS
GFO,GFO,Bartica,GFO,GFO,Bartica,GY,
GFR,GFR,Granville,GFR,GFR,Granville,FR,
GFY,GFY,Grootfontein,GFY,GFY,Grootfontein,NA,
GGB,GGB,Agua Boa,GGB,GGB,Agua Boa,BR,MT
GGC,GGC,Lumbala N'guimbo,GGC,GGC,Lumbala N'guimbo,AO,
GGD,GGD,Gregory Downs,GGD,GGD,Gregory Downs,AU,QL
GGE,GGE,Georgetown County,GGE,GGE,Georgetown,US,SC
GGF,GGF,Almeirim,GGF,GGF,Almeirim,BR,PA
GGG,GGG,East Texas Regional,GGG,GGG,Longview,US,TX
GGH,GGH,Cianorte,GGH,GGH,Cianorte,BR,PR
GGJ,GGJ,Guaira,GGJ,GGJ,Guaira,BR,PR
GGL,GGL,Gilgal,GGL,GGL,Gilgal,CO,
GGM,GGM,Kakamega,GGM,GGM,Kakamega,KE,
GGN,GGN,Gagnoa,GGN,GGN,Gagnoa,CI,
GGO,GGO,Guiglo,GGO,GGO,Guiglo,CI,
GGR,GGR,Garowe,GGR,GGR,Garowe,SO,
GGS,GGS,Gobernador Gregores,GGS,GGS,Gobernador Gregores,AR,SC
GGT,GGT,Exuma International,GGT,GGT,George Town,BS,
GGW,GGW,Glasgow International,GGW,GGW,Glasgow,US,MT
GHA,GHA,Noumerat,GHA,GHA,Ghardaia,DZ,
GHB,GHB,Governor's Harbour,GHB,GHB,Governor's Harbour,BS,
GHC,GHC,Great Harbour Cay,GHC,GHC,Great Harbour Cay,BS,
GHE,GHE,Garachine,GHE,GHE,Garachine,PA,
GHF,GHF,Giebelstadt,GHF,GHF,Giebelstadt,DE,
GHK,GHK,Gahcho Kue,GHK,GHK,Kennedy Lake,CA,NT
GHM,GHM,Centerville Municipal,GHM,GHM,Centerville,US,TN
GHN,GHN,Guanghan,GHN,GHN,Guanghan,CN,
GHS,GHS,Melalan,GHS,GHS,West Kutai,ID,
GHT,GHT,Ghat,GHT,GHT,Ghat,LY,
GHU,GHU,Gualeguaychu,GHU,GHU,Gualeguaychu,AR,ER
GIB,GIB,Gibraltar,GIB,GIB,Gibraltar,GI,
GIC,GIC,Boigu Island,GIC,GIC,Boigu Island,AU,QL
GID,GID,Gitega,GID,GID,Gitega,BI,
GIF,GIF,Winter Haven's Gilbert,GIF,GIF,Winter Haven,US,FL
GIG,GIG,Galeao-A.C.Jobim Intl,RIO,RIO,Rio de Janeiro,BR,RJ
GII,GII,Siguiri,GII,GII,Siguiri,GN,
GIL,GIL,Gilgit,GIL,GIL,Gilgit,PK,
GIM,GIM,Miele Mimbale,GIM,GIM,Miele Mimbale,GA,
GIR,GIR,Santiago Vila,GIR,GIR,Girardot,CO,
GIS,GIS,Gisborne,GIS,GIS,Gisborne,NZ,
GIT,GIT,Geita,GIT,GIT,Geita,TZ,
GIU,GIU,Sigiriya,GIU,GIU,Sigiriya,LK,
GIY,GIY,Giyani,GIY,GIY,Giyani,ZA,
GIZ,GIZ,Gizan,GIZ,GIZ,Gizan,SA,
GJA,GJA,Guanaja,GJA,GJA,Guanaja,HN,
GJL,GJL,Ferhat Abbas,GJL,GJL,Jijel,DZ,
GJM,GJM,Guajara-Mirim,GJM,GJM,Guajara-Mirim,BR,RO
GJR,GJR,Gjogur,GJR,GJR,Gjogur,IS,
GJT,GJT,Grand Junction Regional,GJT,GJT,Grand Junction,US,CO
GKA,GKA,Goroka,GKA,GKA,Goroka,PG,
GKD,GKD,Gokceada,GKD,GKD,Gokceada,TR,
GKE,GKE,Geilenkirchen Air Base,GKE,GKE,Geilenkirchen,DE,
GKH,GKH,Palungtar,GKH,GKH,Gorkha,NP,
GKK,GKK,Kooddoo Island,GKK,GKK,Kooddoo Island,MV,
GKL,GKL,Great Keppel Island,GKL,GKL,Great Keppel Island,AU,QL
GKN,GKN,Gulkana,GKN,GKN,Gulkana,US,AK
GKO,GKO,Kongo Boumba,GKO,GKO,Kongo Boumba,GA,
GKT,GKT,Gatlinburg,GKT,GKT,Sevierville,US,TN
GLA,GLA,Glasgow International,GLA,GLA,Glasgow,GB,
GLB,GLB,San Carlos Apache,GLB,GLB,Globe,US,AZ
GLC,GLC,Geladi,GLC,GLC,Geladi,ET,
GLD,GLD,Renner Field,GLD,GLD,Goodland,US,KS
GLE,GLE,Gainesville Municipal,GLE,GLE,Gainesville,US,TX
GLF,GLF,Golfito,GLF,GLF,Golfito,CR,
GLG,GLG,Glengyle,GLG,GLG,Glengyle,AU,QL
GLH,GLH,Mid-Delta,GLH,GLH,Greenville,US,MS
GLI,GLI,Glen Innes,GLI,GLI,Glen Innes,AU,NS
GLK,GLK,Galcaio,GLK,GLK,Galcaio,SO,
GLL,GLL,Klanten,GLL,GLL,Gol,NO,
GLM,GLM,Glenormiston,GLM,GLM,Glenormiston,AU,QL
GLN,GLN,Guelmime,GLN,GLN,Guelmime,MA,
GLO,GLO,Gloucestershire,GLO,GLO,Gloucester/Cheltenham,GB,
GLP,GLP,Gulgubip,GLP,GLP,Gulgubip,PG,
GLR,GLR,Gaylord Regional,GLR,GLR,Gaylord,US,MI
GLS,GLS,Sholes Intl,GLS,GLS,Galveston,US,TX
GLT,GLT,Gladstone,GLT,GLT,Gladstone,AU,QL
GLU,GLU,Gelephu,GLU,GLU,Gelephu,BT,
GLV,GLV,Golovin,GLV,GLV,Golovin,US,AK
GLW,GLW,Glasgow Municipal,GLW,GLW,Glasgow,US,KY
GLX,GLX,Gamarmalamo,GLX,GLX,Galela,ID,
GLY,GLY,Mount Goldsworthy,GLY,GLY,Mount Goldsworthy,AU,WA
GLZ,GLZ,Gilze-Rijen AB,GLZ,GLZ,Breda,NL,
GMA,GMA,Gemena,GMA,GMA,Gemena,CD,
GMB,GMB,Gambela,GMB,GMB,Gambela,ET,
GMC,GMC,Guerima,GMC,GMC,Guerima,CO,
GMD,GMD,Ben Slimane,GMD,GMD,Ben Slimane,MA,
GME,GME,Gomel,GME,GME,Gomel,BY,
GMI,GMI,Gasmata,GMI,GMI,Gasmata,PG,
GMM,GMM,Gamboma,GMM,GMM,Gamboma,CG,
GMN,GMN,Greymouth,GMN,GMN,Greymouth,NZ,
GMO,GMO,Lawanti,GMO,GMO,Gombe,NG,
GMP,GMP,Gimpo International,SEL,SEL,Seoul,KR,
GMQ,GMQ,Maqin,GMQ,GMQ,Golog,CN,
GMR,GMR,Totegegie,GMR,GMR,Gambier,PF,
GMS,GMS,Antonio Guerreiro,GMS,GMS,Guimaraes,BR,MA
GMT,GMT,Air Station,GMT,GMT,Granite Mountain,US,AK
GMU,GMU,Greenville Downtown Ap,GSP,GSP,Greenville/Spartanburg,US,SC
GMV,GMV,Monument Valley,GMV,GMV,Monument Valley,US,UT
GMZ,GMZ,La Gomera,GMZ,GMZ,San Sebastian/Gomera,ES,
GNA,GNA,Grodno,GNA,GNA,Grodno,BY,
GNB,GNB,Grenoble-Isere,LYS,LYS,Lyon,FR,
GND,GND,Maurice Bishop Intl,GND,GND,Grenada,GD,
GNF,GNF,Gansner Field,GNF,GNF,Quincy,US,CA
GNG,GNG,Gooding Municipal,GNG,GNG,Gooding,US,ID
GNI,GNI,Lyudao (Green Island),GNI,GNI,Lyudao (Green Island),TW,
GNM,GNM,Guanambi,GNM,GNM,Guanambi,BR,BA
GNN,GNN,Ginir,GNN,GNN,Ginir,ET,
GNR,GNR,Dr. Arturo U. Illia,GNR,GNR,General Roca,AR,RN
GNS,GNS,Binaka,GNS,GNS,Gunung Sitoli,ID,
GNT,GNT,Grants-Milan Municipal,GNT,GNT,Grants,US,NM
GNU,GNU,Goodnews Bay,GNU,GNU,Goodnews Bay,US,AK
GNV,GNV,Gainesville Regional,GNV,GNV,Gainesville,US,FL
GNZ,GNZ,Ghanzi,GNZ,GNZ,Ghanzi,BW,
GOA,GOA,Cristoforo Colombo,GOA,GOA,Genoa,IT,
GOB,GOB,Robe,GOB,GOB,Goba,ET,
GOC,GOC,Gora,GOC,GOC,Gora,PG,
GOE,GOE,Gonaili,GOE,GOE,Gonaili,PG,
GOG,GOG,Gobabis,GOG,GOG,Gobabis,NA,
GOH,GOH,Nuuk,GOH,GOH,Nuuk,GL,
GOI,GOI,Dabolim,GOI,GOI,Goa,IN,GA
GOJ,GOJ,Strigino,GOJ,GOJ,Nizhny Novgorod,RU,
GOK,GOK,Guthrie-Edmond Rgnl,GOK,GOK,Guthrie,US,OK
GOL,GOL,Gold Beach Municipal,GOL,GOL,Gold Beach,US,OR
GOM,GOM,Goma International,GOM,GOM,Goma,CD,
GON,GON,Groton/New London Airport,GON,GON,Groton/New London,US,CT
GOO,GOO,Goondiwindi,GOO,GOO,Goondiwindi,AU,QL
GOP,GOP,Gorakhpur,GOP,GOP,Gorakhpur,IN,UP
GOQ,GOQ,Golmud,GOQ,GOQ,Golmud,CN,
GOR,GOR,Gore,GOR,GOR,Gore,ET,
GOS,GOS,Gosford,GOS,GOS,Gosford,AU,NS
GOT,GOT,Landvetter,GOT,GOT,Goteborg,SE,
GOU,GOU,Garoua International,GOU,GOU,Garoua,CM,
GOV,GOV,Gove,GOV,GOV,Nhulunbuy,AU,NT
GOZ,GOZ,Gorna Oryahovitsa,GOZ,GOZ,Gorna Oryahovitsa,BG,
GPA,GPA,Araxos,GPA,GPA,Patrai,GR,
GPB,GPB,T.Thomas de Faria,GPB,GPB,Guarapuava,BR,PR
GPI,GPI,Juan Casiano,GPI,GPI,Guapi,CO,
GPL,GPL,Guapiles,GPL,GPL,Guapiles,CR,
GPN,GPN,Garden Point,GPN,GPN,Garden Point,AU,NT
GPO,GPO,General Pico,GPO,GPO,General Pico,AR,LP
GPS,GPS,Seymour,GPS,GPS,Baltra Island,EC,
GPT,GPT,Gulfport/Biloxi International,GPT,GPT,Gulfport/Biloxi,US,MS
GPZ,GPZ,Itasca County,GPZ,GPZ,Grand Rapids,US,MN
GQQ,GQQ,Galion Municipal,GQQ,GQQ,Galion,US,OH
GRA,GRA,Gamarra,GRA,GRA,Gamarra,CO,
GRB,GRB,Austin Straubel Intl,GRB,GRB,Green Bay,US,WI
GRC,GRC,Grand Cess,GRC,GRC,Grand Cess,LR,
GRD,GRD,Greenwood County,GRD,GRD,Greenwood,US,SC
GRE,GRE,Greenville,GRE,GRE,Greenville,US,IL
GRF,GRF,Gray AAF,TIW,TIW,Tacoma,US,WA
GRG,GRG,Gardez,GRG,GRG,Gardez,AF,
GRH,GRH,Garuahi,GRH,GRH,Garuahi,PG,
GRI,GRI,Central Nebraska Rgnl,GRI,GRI,Grand Island,US,NE
GRJ,GRJ,George,GRJ,GRJ,George,ZA,
GRK,GRK,Regional/R.Gray AAF,ILE,ILE,Killeen/Fort Hood,US,TX
GRL,GRL,Garasa,GRL,GRL,Garasa,PG,
GRM,GRM,Cook County,GRM,GRM,Grand Marais,US,MN
GRN,GRN,Gordon Municipal,GRN,GRN,Gordon,US,NE
GRO,GRO,Costa Brava,GRO,GRO,Girona,ES,
GRP,GRP,Gurupi,GRP,GRP,Gurupi,BR,TO
GRQ,GRQ,Eelde,GRQ,GRQ,Groningen,NL,
GRR,GRR,Gerald R. Ford Intl,GRR,GRR,Grand Rapids,US,MI
GRS,GRS,Corrado Baccarini,GRS,GRS,Grosseto,IT,
GRT,GRT,Gujrat,GRT,GRT,Gujrat,PK,
GRU,GRU,Guarulhos Intl,SAO,SAO,Sao Paulo,BR,SP
GRV,GRV,Grozny,GRV,GRV,Grozny,RU,
GRW,GRW,Graciosa Island,GRW,GRW,Graciosa Island,PT,
GRX,GRX,Federico Garcia Lorca,GRX,GRX,Granada,ES,
GRY,GRY,Grimsey,GRY,GRY,Grimsey,IS,
GRZ,GRZ,Graz Airport,GRZ,GRZ,Graz,AT,
GSA,GSA,Long Pasia,GSA,GSA,Long Pasia,MY,
GSB,GSB,Seymour Johnson AFB,GSB,GSB,Goldsboro,US,NC
GSC,GSC,Gascoyne Junction,GSC,GSC,Gascoyne Junction,AU,WA
GSE,GSE,Goteborg City Airport,GOT,GOT,Goteborg,SE,
GSH,GSH,Goshen Municipal,GSH,GSH,Goshen,US,IN
GSI,GSI,Grand-Santi,GSI,GSI,Grand-Santi,GF,
GSJ,GSJ,Puerto San Jose,GSJ,GSJ,Puerto San Jose,GT,
GSL,GSL,Taltheilei Narrows,GSL,GSL,Taltheilei Narrows,CA,NT
GSN,GSN,Mount Gunson,GSN,GSN,Mount Gunson,AU,SA
GSO,GSO,Piedmont Triad Intl,GSO,GSO,Greensboro/High Point,US,NC
GSP,GSP,Greenville/Spartanburg International,GSP,GSP,Greenville/Spartanburg,US,SC
GSQ,GSQ,Shark el-Owainat International,GSQ,GSQ,Shark el-Owainat,EG,
GSR,GSR,Gardo,GSR,GSR,Gardo,SO,
GSS,GSS,Sabi Sabi,GSS,GSS,Sabie,ZA,
GST,GST,Gustavus Airport,GST,GST,Gustavus,US,AK
GSU,GSU,Gedaref,GSU,GSU,Gedaref,SD,
GSV,GSV,Gagarin,RTW,RTW,Saratov,RU,
GTA,GTA,Gatokae,GTA,GTA,Gatokae,SB,
